game_id,week,away_team,home_team,away_score,home_score,outcome,betmgm_home_fair,fanduel_home_fair,draftkings_home_fair,market_home_probability,def_epa_trend_advantage,candidate_home_probability,candidate_predicted_winner,market_predicted_winner,legacy_v2_home_probability
2025_02_ATL_MIN,2,ATL,MIN,22,6,AWAY,0.6092362344582594,0.5427774333539988,0.550561797752809,0.5675251551883557,0.0,0.5772774355254804,MIN,MIN,0.5425553871667342
2025_02_TB_HOU,2,TB,HOU,20,19,AWAY,0.5656028368794326,0.578989574979952,0.551441114716549,0.5653445088586445,0.0,0.574625090944564,HOU,HOU,0.46674814894560196
2025_02_LAC_LV,2,LAC,LV,20,9,AWAY,0.37443511943189156,0.38167938931297707,0.3690596562184025,0.3750580549877571,0.0,0.3436856632202365,LAC,LAC,0.6351174301158542
2025_03_MIA_BUF,3,MIA,BUF,21,31,HOME,0.863013698630137,0.9320905459387483,0.9433528283131833,0.912819024294023,0.0,0.8840372054000486,BUF,BUF,0.8837113205714369
2025_03_ATL_CAR,3,ATL,CAR,0,30,HOME,0.3181818181818181,0.3299225399254088,0.34285714285714286,0.3303205003214566,0.0,0.2953140048305842,ATL,ATL,0.179965361466181
2025_03_CIN_MIN,3,CIN,MIN,10,48,HOME,0.5990922844175491,0.6037854170229747,0.6287128712871286,0.6105301909092175,0.0,0.6284981783380142,MIN,MIN,0.3739308169419021
2025_03_IND_TEN,3,IND,TEN,41,20,AWAY,0.29556650246305427,0.17154811715481172,0.18129770992366412,0.21613744318051,0.0,0.19179876499687334,IND,IND,0.10668587341717747
2025_03_GB_CLE,3,GB,CLE,10,13,HOME,0.21359223300970873,0.23555555555555555,0.20945945945945946,0.21953574934157458,0.0,0.19443590367518723,GB,GB,0.11610751754726227
2025_03_HOU_JAX,3,HOU,JAX,10,17,HOME,0.5217391304347826,0.5594871427548169,0.5,0.5270754243965331,0.0,0.5275122508250262,JAX,JAX,0.8585929787044124
2025_03_NYJ_TB,3,NYJ,TB,27,29,HOME,0.7335423197492164,0.6744186046511629,0.7146785837057408,0.7075465027020401,0.0,0.7328121220132898,TB,TB,0.6982852414440633
2025_03_PIT_NE,3,PIT,NE,21,14,AWAY,0.4826358742837298,0.3962145829770252,0.4826358742837298,0.4538287771814949,0.0,0.43668653298724724,PIT,PIT,0.6857215154663123
2025_03_LV_WAS,3,LV,WAS,24,41,HOME,0.5829926410466066,0.7008055235903338,0.6067415730337079,0.6301799125568828,0.0,0.6510455827974969,WAS,WAS,0.6438337410943787
2025_03_LA_PHI,3,LA,PHI,26,33,HOME,0.6385542168674698,0.7300613496932514,0.7380410022779044,0.7022188562795418,0.0,0.7275850979222978,PHI,PHI,0.3244317546185346
2025_03_DEN_LAC,3,DEN,LAC,20,23,HOME,0.5829926410466066,0.5330897279740154,0.6152818594710127,0.5771214094972116,0.0,0.5888946709869523,LAC,LAC,0.7371981060734274
2025_03_NO_SEA,3,NO,SEA,13,44,HOME,0.7663551401869159,0.7229381443298969,0.7307110438729199,0.7400014427965775,0.0,0.7632477531444551,SEA,SEA,0.6581012154895044
2025_03_ARI_SF,3,ARI,SF,15,16,HOME,0.5324675324675325,0.5041554124246831,0.5203045685279188,0.5189758378067114,0.0,0.5174486457415057,SF,SF,0.6563766068814086
2025_03_DAL_CHI,3,DAL,CHI,14,31,HOME,0.4675324675324675,0.4368658399098084,0.42847503373819157,0.44429111372682245,0.0,0.4250393537220255,DAL,DAL,0.4118922871855089
2025_03_KC_NYG,3,KC,NYG,22,9,AWAY,0.28169014084507044,0.32558139534883723,0.3135593220338983,0.3069436194092687,0.0,0.2716763647273572,KC,KC,0.49504079871441853
2025_03_DET_BAL,3,DET,BAL,38,30,AWAY,0.6818181818181818,0.6626384692849949,0.5795601552393274,0.6413389354475013,0.0,0.6635628479024531,BAL,BAL,0.5963753336377013
